"순번","ID","도시계획코드","분류명","조서ID","고시ID","라벨명","고시일자","X좌표","Y좌표"
"55452","생활서비스시설_공원_0117","ZON216","생활서비스시설_공원"," "," ","어린이공원(인현)"," ","",""
"55453","생활서비스시설_공원_0119","ZON216","생활서비스시설_공원"," "," ","어린이공원(황학)"," ","",""
"55454","생활서비스시설_공원_0121","ZON216","생활서비스시설_공원"," "," ","어린이공원(동화)"," ","",""
"55455","생활서비스시설_공원_0123","ZON216","생활서비스시설_공원"," "," ","근린공원((무학봉))"," ","",""
"55456","생활서비스시설_공원_0126","ZON216","생활서비스시설_공원"," "," ","마을마당(신당3동)"," ","",""
"55457","생활서비스시설_공원_0129","ZON216","생활서비스시설_공원"," "," ","어린이공원(배재)"," ","",""
"55458","생활서비스시설_공원_0131","ZON216","생활서비스시설_공원"," "," ","근린공원((응봉)<시공원>)"," ","",""
"55459","생활서비스시설_공원_0051","ZON216","생활서비스시설_공원"," "," ","어린이공원(서린)"," ","",""
"55460","생활서비스시설_공원_0053","ZON216","생활서비스시설_공원"," "," ","소공원(무악동쉼터)"," ","",""
"55461","생활서비스시설_공원_0056","ZON216","생활서비스시설_공원"," "," ","소공원(통의동쉼터)"," ","",""
"55462","생활서비스시설_공원_0059","ZON216","생활서비스시설_공원"," "," ","어린이공원(무악)"," ","",""
"55463","생활서비스시설_공원_0062","ZON216","생활서비스시설_공원"," "," ","소공원(숭인동쉼터)"," ","",""
"53896","생활서비스시설_공원_1428","ZON216","생활서비스시설_공원"," "," ","마을마당(신림본동2)"," ","",""
"53897","생활서비스시설_공원_1429","ZON216","생활서비스시설_공원"," "," ","어린이공원(금천)"," ","",""
"53898","생활서비스시설_공원_1431","ZON216","생활서비스시설_공원"," "," ","어린이공원(신라)"," ","",""
"53899","생활서비스시설_공원_1742","ZON216","생활서비스시설_공원"," "," ","어린이공원(임금샘)"," ","",""
"53900","생활서비스시설_공원_1743","ZON216","생활서비스시설_공원"," "," ","어린이공원(쌀섬)"," ","",""
"53901","생활서비스시설_공원_1744","ZON216","생활서비스시설_공원"," "," ","근린공원(삼전)"," ","",""
"53889","생활서비스시설_공원_1418","ZON216","생활서비스시설_공원"," "," ","마을마당(신림본동1)"," ","",""
"53890","생활서비스시설_공원_1420","ZON216","생활서비스시설_공원"," "," ","어린이공원(호박골)"," ","",""
"53891","생활서비스시설_공원_1421","ZON216","생활서비스시설_공원"," "," ","어린이공원(상록)"," ","",""
"53892","생활서비스시설_공원_1422","ZON216","생활서비스시설_공원"," "," ","어린이공원(승방돌)"," ","",""
"53893","생활서비스시설_공원_1424","ZON216","생활서비스시설_공원"," "," ","어린이공원(서광)"," ","",""
"53894","생활서비스시설_공원_1425","ZON216","생활서비스시설_공원"," "," ","어린이공원(도덕)"," ","",""
"53895","생활서비스시설_공원_1426","ZON216","생활서비스시설_공원"," "," ","마을마당(신림7동)"," ","",""
"53902","생활서비스시설_공원_1746","ZON216","생활서비스시설_공원"," "," ","어린이공원(방잇골)"," ","",""
"53903","생활서비스시설_공원_1747","ZON216","생활서비스시설_공원"," "," ","근린공원(누에머리)"," ","",""
"53904","생활서비스시설_공원_1432","ZON216","생활서비스시설_공원"," "," ","마을마당(봉천본동)"," ","",""
"53905","생활서비스시설_공원_1434","ZON216","생활서비스시설_공원"," "," ","어린이공원(탑골)"," ","",""
"53906","생활서비스시설_공원_1435","ZON216","생활서비스시설_공원"," "," ","어린이공원(일선)"," ","",""
"53907","생활서비스시설_공원_1437","ZON216","생활서비스시설_공원"," "," ","어린이공원(남부)"," ","",""
"53908","생활서비스시설_공원_1438","ZON216","생활서비스시설_공원"," "," ","어린이공원(비안)"," ","",""
"53909","생활서비스시설_공원_1440","ZON216","생활서비스시설_공원"," "," ","어린이공원(영락)"," ","",""
"53910","생활서비스시설_공원_1441","ZON216","생활서비스시설_공원"," "," ","어린이공원(쑥고개)"," ","",""
"53911","생활서비스시설_공원_1442","ZON216","생활서비스시설_공원"," "," ","어린이공원(교체)"," ","",""
"53912","생활서비스시설_공원_1444","ZON216","생활서비스시설_공원"," "," ","어린이공원(은천)"," ","",""
"53913","생활서비스시설_공원_1445","ZON216","생활서비스시설_공원"," "," ","어린이공원(합실)"," ","",""
"53914","생활서비스시설_공원_1447","ZON216","생활서비스시설_공원"," "," ","어린이공원(인헌)"," ","",""
"53915","생활서비스시설_공원_1448","ZON216","생활서비스시설_공원"," "," ","어린이공원(한라)"," ","",""
"53916","생활서비스시설_공원_1451","ZON216","생활서비스시설_공원"," "," ","어린이공원(서릿개)"," ","",""
"53917","생활서비스시설_공원_1452","ZON216","생활서비스시설_공원"," "," ","어린이공원(잿말)"," ","",""
"53918","생활서비스시설_공원_1453","ZON216","생활서비스시설_공원"," "," ","어린이공원(만남)"," ","",""
"53919","생활서비스시설_공원_1454","ZON216","생활서비스시설_공원"," "," ","어린이공원(점말)"," ","",""
"53920","생활서비스시설_공원_1455","ZON216","생활서비스시설_공원"," "," ","어린이공원(언구비)"," ","",""
"53921","생활서비스시설_공원_1457","ZON216","생활서비스시설_공원"," "," ","근린공원(방아다리2)"," ","",""
"53922","생활서비스시설_공원_1458","ZON216","생활서비스시설_공원"," "," ","어린이공원(식유촌)"," ","",""
"53923","생활서비스시설_공원_1460","ZON216","생활서비스시설_공원"," "," ","어린이공원(뒷벌)"," ","",""
"53924","생활서비스시설_공원_1461","ZON216","생활서비스시설_공원"," "," ","어린이공원(능안)"," ","",""
"53925","생활서비스시설_공원_1462","ZON216","생활서비스시설_공원"," "," ","어린이공원(당골)"," ","",""
"53926","생활서비스시설_공원_1463","ZON216","생활서비스시설_공원"," "," ","근린공원(잠원)"," ","",""
"53927","생활서비스시설_공원_1464","ZON216","생활서비스시설_공원"," "," ","어린이공원(신반포)"," ","",""
"53928","생활서비스시설_공원_1465","ZON216","생활서비스시설_공원"," "," ","어린이공원(반일)"," ","",""
"53929","생활서비스시설_공원_1466","ZON216","생활서비스시설_공원"," "," ","어린이공원(파랑새)"," ","",""
"53930","생활서비스시설_공원_1467","ZON216","생활서비스시설_공원"," "," ","어린이공원(상명달)"," ","",""
"53931","생활서비스시설_공원_1468","ZON216","생활서비스시설_공원"," "," ","어린이공원(너른골)"," ","",""
